topic,covariate,estimate,se,pval,ci_lo,ci_hi,sig
18,bjp,0.09808750396453086,0.03439672265790198,0.0048057762997941594,0.030669927555042983,0.16550508037401873,TRUE
18,inc,-9.694057159560451e-4,0.030347638701173366,0.9745490706593514,-0.06045077757025584,0.05851196613834375,FALSE
18,left,-0.010180428517503788,0.03187386077030073,0.7497585418122721,-0.07265319562729322,0.05229233859228564,FALSE
18,lok_num,0.015766799203653162,0.020940842272772847,0.45238273358545833,-0.025277251650981616,0.05681085005828794,FALSE
19,(Intercept),1.0458322978792032,0.4584606589011242,0.023591100843169215,0.14724940643299977,1.9444151893254067,TRUE
19,bjp,-0.04579844703471047,0.038979150849604634,0.24141276037765982,-0.12219758269993555,0.030600688630514607,FALSE
19,inc,0.0274717218599973,0.04151287733485041,0.5088842989544573,-0.0538935177163095,0.1088369614363041,FALSE
19,left,-0.02128782122212454,0.05243748403656128,0.6852017886885067,-0.12406528993378464,0.08148964748953556,FALSE
19,lok_num,-0.060057773542548154,0.027632098549789753,0.03091914600307062,-0.11421668670013607,-0.005898860384960243,TRUE
20,(Intercept),0.6034185779896031,0.49706047385816726,0.2261891495823122,-0.3708199507724047,1.577657106751611,FALSE
20,bjp,-0.07471417022624499,0.041924330458705895,0.07624688291752084,-0.15688585792530854,0.007457517472818559,FALSE
20,inc,-0.0052807758706444035,0.04292677831460552,0.9022162021325111,-0.08941726136727123,0.07885570962598241,FALSE
20,left,-0.08307140675113804,0.0487440552663686,0.08988988309025882,-0.1786097550732205,0.012466941570944412,FALSE
20,lok_num,-0.03186311491978108,0.030113845676432396,0.2912913598996262,-0.09088625244558858,0.027160022606026415,FALSE
