doc,word,n,tf,idf,tf_idf
Supriya Sule,belonging,1,2.151462994836489e-4,0,0
Supriya Sule,beneficiaries,12,0.0025817555938037868,0,0
Supriya Sule,benefit,1,2.151462994836489e-4,0,0
Supriya Sule,benefited,4,8.605851979345956e-4,0,0
Supriya Sule,benefits,7,0.0015060240963855422,0,0
Supriya Sule,benefitted,2,4.302925989672978e-4,0,0
Supriya Sule,bengal,1,2.151462994836489e-4,0,0
Supriya Sule,better,2,4.302925989672978e-4,0,0
Supriya Sule,betterment,1,2.151462994836489e-4,0,0
Supriya Sule,bhaurao,1,2.151462994836489e-4,0,0
Supriya Sule,bihar,1,2.151462994836489e-4,0,0
Supriya Sule,bijli,1,2.151462994836489e-4,0,0
Supriya Sule,black,3,6.454388984509467e-4,0,0
Supriya Sule,board,5,0.0010757314974182443,0,0
Supriya Sule,boarding,1,2.151462994836489e-4,0,0
Supriya Sule,bodies,1,2.151462994836489e-4,0,0
Supriya Sule,boilers,2,4.302925989672978e-4,0,0
Supriya Sule,boost,6,0.0012908777969018934,0,0
Supriya Sule,border,3,6.454388984509467e-4,0,0
Supriya Sule,borne,1,2.151462994836489e-4,0,0
Supriya Sule,bottlenecks,2,4.302925989672978e-4,0,0
Supriya Sule,bound,3,6.454388984509467e-4,0,0
Supriya Sule,breeder,1,2.151462994836489e-4,0,0
Supriya Sule,bring,2,4.302925989672978e-4,0,0
Supriya Sule,broadband,2,4.302925989672978e-4,0,0
Supriya Sule,broadcasting,1,2.151462994836489e-4,0,0
Supriya Sule,brought,1,2.151462994836489e-4,0,0
Supriya Sule,budget,1,2.151462994836489e-4,0,0
Supriya Sule,budgetary,1,2.151462994836489e-4,0,0
Supriya Sule,buffaloes,1,2.151462994836489e-4,0,0
Supriya Sule,build,2,4.302925989672978e-4,0,0
Supriya Sule,building,2,4.302925989672978e-4,0,0
Supriya Sule,buildings,2,4.302925989672978e-4,0,0
Supriya Sule,built,1,2.151462994836489e-4,0,0
Supriya Sule,bundelkhand,1,2.151462994836489e-4,0,0
Supriya Sule,bureau,2,4.302925989672978e-4,0,0
Supriya Sule,bureaucrats,1,2.151462994836489e-4,0,0
Supriya Sule,business,19,0.004087779690189329,0,0
Supriya Sule,businesses,2,4.302925989672978e-4,0,0
Supriya Sule,businessmen,1,2.151462994836489e-4,0,0
Supriya Sule,busted,1,2.151462994836489e-4,0,0
Supriya Sule,cable,2,4.302925989672978e-4,0,0
Supriya Sule,campaign,2,4.302925989672978e-4,0,0
Supriya Sule,campaigns,2,4.302925989672978e-4,0,0
Supriya Sule,camps,1,2.151462994836489e-4,0,0
Supriya Sule,capacity,2,4.302925989672978e-4,0,0
Supriya Sule,capita,3,6.454388984509467e-4,0,0
Supriya Sule,capital,1,2.151462994836489e-4,0,0
Supriya Sule,cardholders,1,2.151462994836489e-4,0,0
Supriya Sule,cards,3,6.454388984509467e-4,0,0
Supriya Sule,career,1,2.151462994836489e-4,0,0
Supriya Sule,carried,1,2.151462994836489e-4,0,0
Supriya Sule,carrying,2,4.302925989672978e-4,0,0
Supriya Sule,cases,14,0.0030120481927710845,0,0
Supriya Sule,cashless,3,6.454388984509467e-4,0,0
Supriya Sule,categories,2,4.302925989672978e-4,0,0
Supriya Sule,category,1,2.151462994836489e-4,0,0
Supriya Sule,catering,2,4.302925989672978e-4,0,0
Supriya Sule,cattle,1,2.151462994836489e-4,0,0
Supriya Sule,causes,1,2.151462994836489e-4,0,0
Supriya Sule,celebrated,1,2.151462994836489e-4,0,0
Supriya Sule,center,1,2.151462994836489e-4,0,0
Supriya Sule,centers,2,4.302925989672978e-4,0,0
Supriya Sule,central,9,0.00193631669535284,0,0
Supriya Sule,centrally,1,2.151462994836489e-4,0,0
Supriya Sule,centre,5,0.0010757314974182443,0,0
Supriya Sule,centres,3,6.454388984509467e-4,0,0
Supriya Sule,centric,1,2.151462994836489e-4,0,0
Supriya Sule,certain,1,2.151462994836489e-4,0,0
Supriya Sule,certificate,3,6.454388984509467e-4,0,0
Supriya Sule,certificates,2,4.302925989672978e-4,0,0
Supriya Sule,certification,2,4.302925989672978e-4,0,0
Supriya Sule,certified,1,2.151462994836489e-4,0,0
Supriya Sule,cftri,3,6.454388984509467e-4,0,0
Supriya Sule,chalk,1,2.151462994836489e-4,0,0
Supriya Sule,chalked,1,2.151462994836489e-4,0,0
Supriya Sule,challenges,3,6.454388984509467e-4,0,0
Supriya Sule,change,6,0.0012908777969018934,0,0
Supriya Sule,changes,2,4.302925989672978e-4,0,0
Supriya Sule,channels,5,0.0010757314974182443,0,0
Supriya Sule,charge,3,6.454388984509467e-4,0,0
Supriya Sule,charges,3,6.454388984509467e-4,0,0
Supriya Sule,check,3,6.454388984509467e-4,0,0
Supriya Sule,chhattisgarh,1,2.151462994836489e-4,0,0
Supriya Sule,chief,2,4.302925989672978e-4,0,0
Supriya Sule,child,4,8.605851979345956e-4,0,0
Supriya Sule,children,20,0.004302925989672977,0,0
Supriya Sule,cibil,2,4.302925989672978e-4,0,0
Supriya Sule,circulated,1,2.151462994836489e-4,0,0
Supriya Sule,circumstances,1,2.151462994836489e-4,0,0
Supriya Sule,cities,1,2.151462994836489e-4,0,0
Supriya Sule,citing,1,2.151462994836489e-4,0,0
Supriya Sule,citizen,1,2.151462994836489e-4,0,0
Supriya Sule,citizens,5,0.0010757314974182443,0,0
Supriya Sule,civil,1,2.151462994836489e-4,0,0
Supriya Sule,civilian,1,2.151462994836489e-4,0,0
Supriya Sule,class,2,4.302925989672978e-4,0,0
Supriya Sule,classification,5,0.0010757314974182443,0,0
Supriya Sule,classified,1,2.151462994836489e-4,0,0
Supriya Sule,classify,1,2.151462994836489e-4,0,0
Supriya Sule,clauses,1,2.151462994836489e-4,0,0
