doc_party_session,party_family,lok_no,session_no,pos_hindutva,pos_econ_l,pos_rural
SP_16_9,SP,16,9,-1.0462205834560305,-0.20983151182156112,0.008629477436609466
Shiv Sena_16_10,Shiv Sena,16,10,-0.2386384171339419,-0.2891939398590655,-0.1834004824983951
Shiv Sena_16_11,Shiv Sena,16,11,0.18603993618347195,-0.4208142365999466,0.23698738075895154
Shiv Sena_16_12,Shiv Sena,16,12,0.17180870539471574,-0.02496077072934269,-0.306225302281661
Shiv Sena_16_13,Shiv Sena,16,13,0.13486212113616175,-0.06677064731958533,-0.23162341583307838
Shiv Sena_16_14,Shiv Sena,16,14,0.07115809608544499,0.1561842935029737,0.1443817786871241
Shiv Sena_16_15,Shiv Sena,16,15,-0.286181880364331,-0.27479434817535037,0.3324530059766327
Shiv Sena_16_16,Shiv Sena,16,16,0.5616632299220523,0.19665904591678388,-0.30852591024444487
Shiv Sena_16_17,Shiv Sena,16,17,0.12836083419202166,0.3945780547867841,0.03270397161877868
Shiv Sena_16_5,Shiv Sena,16,5,-0.3163713168736947,-0.11913473048892129,-0.03684995160502177
Shiv Sena_16_6,Shiv Sena,16,6,-0.1849955394133742,-0.09793080377012366,-0.16585368053012647
Shiv Sena_16_7,Shiv Sena,16,7,0.32752933364497416,0.330307939511554,-0.03404789457628304
Shiv Sena_16_8,Shiv Sena,16,8,-0.4217773719032261,-0.4620219641008352,-0.13735415387212543
Shiv Sena_16_9,Shiv Sena,16,9,0.006766237422415049,-0.2261836559531306,-0.028612058914598747
Shiv Sena_17_1,Shiv Sena,17,1,0.09347639866254277,-0.39178735065031195,0.06083643054351117
Shiv Sena_17_10,Shiv Sena,17,10,0.15347923318494844,0.2647685900343414,0.724422095909227
Shiv Sena_17_11,Shiv Sena,17,11,0.269900209477772,0.20688285219297067,0.14672085978300142
Shiv Sena_17_12,Shiv Sena,17,12,-0.017038203799878995,0.7734488408276344,0.31846709538667645
Shiv Sena_17_14,Shiv Sena,17,14,0.4658050382345466,-0.3166102112527174,-0.0809195779397659
Shiv Sena_17_2,Shiv Sena,17,2,-0.22922869746029062,0.7120211733666044,-0.08774502924156838
Shiv Sena_17_3,Shiv Sena,17,3,0.15137630252520287,-0.11516458697852039,-0.013786841482522488
Shiv Sena_17_5,Shiv Sena,17,5,0.04345104571511889,-0.11655723577136765,-0.6472861448028095
Shiv Sena_17_6,Shiv Sena,17,6,-0.5406456792537349,0.07930281492999097,0.11196826210582296
Shiv Sena_17_7,Shiv Sena,17,7,0.5185668401776704,0.07791650929200854,-0.4487326989005789
Shiv Sena_17_8,Shiv Sena,17,8,0.307621020985465,0.03952074387476758,0.6585113740719385
Shiv Sena_17_9,Shiv Sena,17,9,0.0751620798953024,0.4246443643522249,0.21096824195755895
TDP_16_10,TDP,16,10,-0.5951829957278716,-0.5135503520642878,-0.2016132740951352
TDP_16_11,TDP,16,11,-0.008936209043010866,-0.03714179870282848,-0.02202018345699156
TDP_16_12,TDP,16,12,-0.19463339938410454,0.2802825168021667,-0.19016426532339256
TDP_16_13,TDP,16,13,0.373962499115525,-0.1438513386626817,-0.2524037624346628
TDP_16_14,TDP,16,14,0.18061364675376174,-0.3585042520353526,-0.27867158172541456
TDP_16_15,TDP,16,15,-0.20789533747522934,-0.06534469559120915,0.6495284118554264
TDP_16_16,TDP,16,16,0.820071650630086,-0.03837366524356521,-0.6646041159417442
TDP_16_17,TDP,16,17,-0.3141924684413959,-0.23617279502271651,0.04482717464802904
TDP_16_5,TDP,16,5,-0.3556209282948973,-0.2918451247443218,-0.5739559663616872
TDP_16_6,TDP,16,6,-0.08046650077980248,-0.995482642428136,-0.3827640996472003
TDP_16_7,TDP,16,7,-0.16255776305985248,-0.34769370386698495,-0.11844961892534837
TDP_16_8,TDP,16,8,-0.01802064481288122,-0.6037435900829045,-0.38842181543573867
TDP_16_9,TDP,16,9,0.13196620919343183,0.4799146916882773,0.008364279530956819
