id,lok_no,session_no,party_family,ministry,sent_neg,sent_pos,sent_neu,sent_compound,sent_label
LS17-S1-STARRED-461,17,1,Regional,CIVIL AVIATION,0.0,0.119,0.881,0.7506,positive
LS17-S1-STARRED-460,17,1,BJP,RAILWAYS,0.0925,0.023,0.8845,0.055975,positive
LS17-S1-STARRED-458,17,1,Regional,COMMUNICATIONS,0.093,0.062,0.845,-0.3182,adversarial
LS17-S1-STARRED-454,17,1,INC,RAILWAYS,0.0,0.067,0.933,0.7096,positive
LS17-S1-STARRED-452,17,1,INC,LAW AND JUSTICE,0.014,0.055,0.93,0.7865,positive
LS17-S1-STARRED-444,17,1,INC,COMMERCE AND INDUSTRY,0.0,0.103,0.897,0.8591,positive
LS17-S1-STARRED-442,17,1,BJP,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",0.0,0.116,0.884,0.7783,positive
LS17-S1-STARRED-433,17,1,BJP,FOOD PROCESSING INDUSTRIES,0.043,0.047,0.911,-0.128,adversarial
LS17-S1-STARRED-431,17,1,INC,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",0.026600000000000002,0.042249999999999996,0.9311,0.07016,positive
LS17-S1-STARRED-430,17,1,INC,AGRICULTURE AND FARMERS WELFARE,0.04666666666666666,0.035666666666666666,0.9176666666666667,0.12366666666666666,positive
LS17-S1-STARRED-426,17,1,Shiv Sena,FOOD PROCESSING INDUSTRIES,0.0,0.115,0.885,0.9184,positive
LS17-S1-STARRED-425,17,1,BJP,SOCIAL JUSTICE AND EMPOWERMENT,0.0,0.071,0.929,0.53285,positive
LS17-S1-STARRED-422,17,1,Regional,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",0.06,0.064,0.876,-0.128,adversarial
LS17-S1-STARRED-421,17,1,INC,HOME AFFAIRS,0.0,0.2,0.8,0.9263,positive
LS17-S1-STARRED-419,17,1,BJP,PETROLEUM AND NATURAL GAS,0.0,0.083,0.917,0.7531,positive
LS17-S1-STARRED-418,17,1,BJP,HUMAN RESOURCE DEVELOPMENT,0.0,0.066,0.934,0.765,positive
LS17-S1-STARRED-417,17,1,BJP,HUMAN RESOURCE DEVELOPMENT,0.0,0.09,0.91,0.7425,positive
LS17-S1-STARRED-416,17,1,BJP,TOURISM,0.0,0.081,0.919,0.6908,positive
LS17-S1-STARRED-415,17,1,BJP,HUMAN RESOURCE DEVELOPMENT,0.0,0.149,0.851,0.8126,positive
LS17-S1-STARRED-414,17,1,INC,HUMAN RESOURCE DEVELOPMENT,0.0,0.041,0.959,0.4404,positive
LS17-S1-STARRED-410,17,1,JDU,FINANCE,0.0095,0.042,0.9490000000000001,0.3715,positive
LS17-S1-STARRED-409,17,1,BJP,CULTURE,0.0,0.037,0.963,0.4404,positive
